                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8084,                 17.401,                 4.0849,                 4.3613,                0.00971,                    0.5,                 0.0174,                0.00504,                      0,                      0,                      0,                      0,                 3.0726,                 5.2265,                 4.0085,                 4.1585,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 3.6305,                   14.8,                 4.0149,                 4.3767,                0.01019,                0.58333,                0.01839,                0.00467,                      0,                      0,                      0,                      0,                 3.0708,                 5.2314,                 4.0095,                 4.1578,             0.00011588,             0.00011588,             0.00011588
                      3,                 3.8216,                  12.92,                 4.0101,                 4.3591,                0.00876,                    0.5,                0.01584,                0.00386,                      0,                      0,                      0,                      0,                 3.0699,                  5.234,                 4.0108,                 4.1574,             0.00016045,             0.00016045,             0.00016045
                      4,                 3.8873,                 9.9109,                 4.1801,                 4.3178,                 0.0088,                0.41667,                0.00987,                0.00311,                      0,                      0,                      0,                      0,                 3.0676,                 5.2405,                 4.0156,                 4.1563,             0.00019087,             0.00019087,             0.00019087
                      5,                 3.4591,                 9.7519,                  3.935,                 4.2615,                0.00863,                0.41667,                0.00834,                0.00262,                      0,                      0,                      0,                      0,                 3.0663,                 5.2445,                 4.0195,                 4.1555,             0.00020715,             0.00020715,             0.00020715
                      6,                 3.5368,                 8.7629,                 4.0069,                 4.2856,                0.00852,                0.41667,                0.00875,                0.00249,                      0,                      0,                      0,                      0,                 3.0648,                 5.2496,                 4.0248,                 4.1545,             0.00020928,             0.00020928,             0.00020928
                      7,                 3.5819,                 10.636,                 4.0216,                 4.3164,                0.00828,                0.41667,                0.00911,                0.00257,                      0,                      0,                      0,                      0,                 3.0635,                 5.2561,                 4.0316,                 4.1534,             0.00019726,             0.00019726,             0.00019726
                      8,                 3.5986,                 8.5226,                 3.8649,                  4.274,                0.00828,                0.41667,                0.00911,                0.00257,                      0,                      0,                      0,                      0,                 3.0635,                 5.2561,                 4.0316,                 4.1534,             0.00017109,             0.00017109,             0.00017109
                      9,                 3.3735,                 11.309,                 3.8663,                 4.3612,                0.00849,                0.41667,                0.00894,                 0.0026,                      0,                      0,                      0,                      0,                 3.0621,                 5.2643,                 4.0406,                 4.1523,             0.00013078,             0.00013078,             0.00013078
                     10,                 3.6867,                 10.737,                 3.9779,                 4.3818,                0.00827,                0.41667,                0.00951,                0.00256,                      0,                      0,                      0,                      0,                 3.0606,                 5.2745,                 4.0514,                  4.151,             7.6323e-05,             7.6323e-05,             7.6323e-05
