epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.99,1.30237,3.75833,1.37558,0.04156,0.18127,0.02498,0.01562,0.94094,3.8464,1.1117,7.777e-05,7.777e-05,7.777e-05
2,263.13,1.19952,3.31707,1.31406,0.03608,0.29572,0.05577,0.03748,0.92058,3.70042,1.05564,0.000165,0.000165,0.000165
3,382.198,1.23767,2.44044,1.32559,0.03631,0.37334,0.07314,0.05123,0.95776,3.58924,1.06582,0.000250471,0.000250471,0.000250471
4,506.34,1.20069,2.19839,1.32361,0.72342,0.06109,0.08468,0.05463,1.06308,3.4338,1.11174,0.000334181,0.000334181,0.000334181
5,632.071,1.26527,2.07526,1.29431,0.50908,0.068,0.09514,0.05958,1.13811,3.27907,1.14882,0.000416132,0.000416132,0.000416132
6,755.905,1.15768,1.86821,1.27322,0.48211,0.07913,0.09487,0.06158,1.12664,3.10018,1.16962,0.000496323,0.000496323,0.000496323
7,883.956,1.20986,1.865,1.35244,0.47091,0.07863,0.08677,0.0546,1.16794,3.16667,1.20151,0.000574754,0.000574754,0.000574754
8,1073.72,1.17816,1.74083,1.31329,0.46981,0.08553,0.08534,0.05267,1.17677,3.06271,1.20489,0.000651425,0.000651425,0.000651425
9,1216.17,1.21254,1.68923,1.33647,0.49098,0.08262,0.0784,0.05051,1.2115,3.10122,1.25182,0.000726336,0.000726336,0.000726336
10,1340.64,1.17238,1.66701,1.26721,0.49057,0.08478,0.07969,0.05118,1.27977,3.15904,1.3088,0.000799488,0.000799488,0.000799488
11,1449.47,1.18108,1.62498,1.28349,0.31802,0.11763,0.08999,0.05432,1.2719,3.08869,1.33408,0.00087088,0.00087088,0.00087088
12,1551.9,1.15855,1.63121,1.30025,0.35321,0.19099,0.11353,0.06971,1.26709,2.90341,1.31784,0.000940511,0.000940511,0.000940511
13,1652.73,1.07528,1.52222,1.23133,0.3094,0.17317,0.10632,0.06242,1.30177,2.8647,1.31064,0.000979013,0.000979013,0.000979013
14,1753.58,1.0852,1.51255,1.22091,0.33973,0.21604,0.10602,0.06733,1.275,2.92865,1.30804,0.000968014,0.000968014,0.000968014
15,1853.7,1.12557,1.43888,1.2231,0.35517,0.21044,0.09812,0.06262,1.22719,2.87333,1.29769,0.000957015,0.000957015,0.000957015
16,1956.01,1.12881,1.39456,1.25664,0.33902,0.27398,0.10838,0.06999,1.21882,2.79102,1.28234,0.000946016,0.000946016,0.000946016
17,2060.24,1.06777,1.40378,1.2383,0.32462,0.20587,0.09027,0.05673,1.24106,2.92702,1.28703,0.000935018,0.000935018,0.000935018
18,2161.15,1.02104,1.47098,1.24309,0.3133,0.18607,0.09559,0.05682,1.27526,3.03003,1.29806,0.000924019,0.000924019,0.000924019
19,2262.54,1.10397,1.47799,1.22908,0.31435,0.18627,0.10031,0.06037,1.30549,2.95023,1.31928,0.00091302,0.00091302,0.00091302
20,2363.96,1.09258,1.30465,1.20877,0.36813,0.13997,0.09224,0.05804,1.32325,2.86403,1.35414,0.000902021,0.000902021,0.000902021
21,2463,1.05123,1.36009,1.2251,0.44067,0.09963,0.08104,0.0488,1.36375,3.01513,1.4129,0.000891022,0.000891022,0.000891022
22,2562.57,1.05557,1.30528,1.21313,0.50174,0.09536,0.07961,0.04765,1.42998,3.14812,1.44999,0.000880023,0.000880023,0.000880023
23,2666.5,1.04406,1.28624,1.25071,0.31088,0.08734,0.06158,0.03492,1.45438,3.49014,1.48535,0.000869024,0.000869024,0.000869024
